Computer experience_1,Age_1,Gender  ,PO,Perceived surveil.._1,Perceived surveil.._2,Perceived surveil.._3,Perceived surveil.._4,Privacy concerns_1,Privacy concerns_2,Privacy concerns_3,Privacy concerns_4,Trust in RS_1,Trust in RS_2,Trust in RS_3,Trust in RS_4,Trust in RS_5,Cyber-paranoia_1,Cyber-paranoia_2,Cyber-paranoia_3,Cyber-paranoia_4,Cyber-paranoia_5,Cyber-paranoia_6
7,22,1,4,3,5,5,4,3,4,4,4,4,4,3,2,4,3,1,2,2,2,3
7,21,1,3,4,5,5,5,4,5,4,4,4,4,3,3,2,3,1,1,2,1,2
10,25,1,6,6,4,4,7,3,3,3,4,2,4,4,2,2,4,3,3,3,2,4
5,58,2,2,3,2,5,5,4,4,4,4,3,3,3,2,3,2,2,2,3,3,3
6,56,1,3,2,3,2,4,4,3,3,4,3,4,3,4,3,1,2,1,1,1,3
10,24,2,2,5,5,4,5,4,4,4,4,4,4,3,3,3,4,3,1,3,3,3
8,22,2,3,3,5,3,5,4,4,4,4,4,4,3,3,4,4,4,3,3,1,2
8,24,1,3,3,4,5,4,4,4,3,3,2,3,3,2,2,4,3,1,2,1,4
8,22,1,2,4,4,3,5,4,4,3,4,4,4,4,3,2,3,2,2,2,2,3
6,23,1,5,6,4,3,3,4,2,2,4,3,2,4,4,4,3,2,2,2,1,3
7,21,2,2,5,5,5,5,5,5,5,5,2,4,4,3,2,4,2,3,2,4,4
5,76,2,2,6,6,6,6,4,4,4,4,3,3,3,2,2,3,2,4,4,2,3
7,47,2,3,5,3,3,4,4,4,4,4,2,4,4,3,2,3,2,4,3,3,4
7,21,1,3,6,6,6,6,4,4,4,4,3,2,3,2,2,3,3,2,2,3,3
7,24,1,2,5,6,5,4,4,4,3,4,4,3,4,4,3,4,2,2,3,2,3
7,21,1,4,6,6,6,6,3,4,4,4,3,4,3,3,2,2,2,2,3,1,3
7,20,1,1,3,6,3,6,4,5,4,5,2,4,4,2,2,2,1,2,2,1,3
8,24,2,2,1,1,1,1,4,4,4,4,4,4,4,2,2,1,1,1,1,1,3
9,26,1,4,6,5,5,6,4,4,5,5,3,4,5,2,2,4,4,3,4,4,4
7,20,1,4,2,3,6,2,4,4,4,4,4,4,3,3,3,2,2,2,3,1,3
8,46,1,3,6,5,5,6,4,3,3,3,3,4,4,3,3,4,1,2,2,2,3
6,25,1,6,5,3,3,5,4,2,4,4,4,4,4,4,2,2,2,2,2,1,3
9,33,1,2,7,6,6,6,4,4,4,5,3,4,4,4,2,3,2,1,2,2,3
9,23,2,4,6,5,4,5,4,4,3,4,3,3,3,3,3,4,4,3,4,2,4
6,26,1,4,6,5,5,4,4,4,4,4,3,4,3,3,2,4,2,2,4,3,4
7,21,2,3,5,5,3,4,4,4,5,4,2,2,3,2,2,4,3,2,4,3,3
7,21,1,3,2,3,2,1,3,3,4,4,4,4,4,2,3,3,2,2,2,2,3
9,25,1,4,2,2,2,3,4,5,4,4,3,4,2,3,1,2,2,1,3,1,3
4,21,2,2,4,5,5,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
9,65,1,3,2,2,2,1,2,1,1,2,4,3,3,4,3,3,1,1,2,2,3
9,20,2,3,6,6,5,6,5,5,4,5,2,2,2,2,2,4,4,2,4,4,3
5,20,2,3,6,2,5,5,2,4,4,4,3,4,3,2,3,2,2,1,1,1,3
8,22,2,2,6,2,2,5,5,3,3,5,2,4,3,3,1,3,1,1,1,1,3
8,22,2,2,5,5,2,5,2,4,4,3,4,3,3,2,2,3,2,2,2,2,3
5,21,2,2,6,2,6,6,4,4,3,4,2,2,3,2,2,4,3,2,3,3,3
7,24,2,2,5,5,2,5,4,4,3,4,3,4,4,3,3,1,2,1,2,2,2
8,26,1,7,6,6,6,3,2,2,1,2,4,1,4,2,2,4,3,2,4,1,4
6,20,1,6,1,1,1,6,4,5,4,4,1,4,4,1,1,1,3,1,1,1,3
9,27,1,1,4,5,5,2,4,4,2,4,4,2,4,2,2,2,2,2,2,2,3
10,26,1,4,5,5,4,5,2,4,2,3,3,3,3,3,4,2,1,2,2,1,2
3,27,1,5,4,5,6,6,4,3,4,4,3,2,4,2,2,4,3,2,2,3,3
8,26,2,3,3,2,2,2,4,4,4,4,3,2,3,2,2,3,3,2,2,1,3
8,54,2,4,5,5,5,5,4,4,3,4,3,3,3,2,2,2,2,1,2,3,3
8,59,2,2,3,3,2,2,3,4,3,3,4,4,3,3,3,2,2,2,2,2,3
6,24,2,1,5,5,3,3,4,4,2,4,3,4,4,3,3,4,2,2,2,2,3
5,45,2,3,6,6,6,7,5,3,4,5,3,1,2,2,1,4,2,3,2,1,3
8,20,2,3,5,5,5,5,5,5,4,5,2,3,3,2,2,4,3,2,4,3,3
10,48,2,1,5,5,5,5,5,4,4,5,2,4,3,1,1,2,2,2,3,1,3
5,20,2,4,6,7,3,5,3,4,3,4,3,4,4,3,3,3,3,2,3,3,1
5,64,1,5,4,4,4,6,4,3,3,4,3,4,4,3,2,2,2,3,3,1,3
10,23,1,4,6,6,5,6,3,4,3,4,4,4,4,3,3,4,2,2,2,2,2
8,37,1,2,6,6,2,5,4,3,3,4,3,3,3,4,4,3,1,2,4,2,3
5,50,2,2,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
10,69,1,2,6,6,6,6,4,4,4,4,3,4,3,2,1,3,4,2,4,2,4
6,98,1,2,3,3,2,3,3,3,3,4,3,3,3,2,1,2,3,2,2,2,3
7,65,1,5,6,6,6,6,4,4,4,4,3,2,2,2,3,1,3,2,1,1,3
6,30,2,4,7,6,6,5,4,4,4,4,3,4,3,3,2,3,3,2,3,2,2
8,23,2,3,5,6,6,4,3,4,3,4,4,4,3,3,2,2,3,2,2,2,4
5,24,1,4,5,5,5,6,5,5,5,4,2,3,3,3,3,3,2,2,2,2,3
6,21,2,4,5,5,4,4,4,2,2,2,3,4,4,4,3,3,1,1,3,1,2
4,70,2,4,2,2,2,2,4,4,3,4,3,3,3,3,3,2,2,2,2,1,3
8,56,2,2,2,4,2,5,4,3,3,4,3,3,3,4,3,4,3,3,3,2,4
10,37,2,4,5,5,5,5,4,5,5,4,3,1,4,2,1,2,2,2,2,1,4
8,46,1,2,3,1,3,5,4,4,4,4,2,3,3,2,2,4,2,1,2,1,3
7,23,1,4,7,6,6,7,5,5,5,4,3,2,4,1,1,4,2,1,3,2,3
5,73,2,2,5,3,5,5,4,4,2,4,4,4,3,3,2,2,3,2,3,3,4
6,20,1,4,6,3,5,6,4,4,4,4,3,3,4,2,3,3,3,2,3,3,2
7,20,1,3,4,5,6,4,4,4,4,4,4,3,3,4,4,2,2,2,3,2,3
7,52,1,4,3,4,4,4,3,3,3,4,3,3,3,3,3,2,2,2,2,1,3
9,24,1,2,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,1,4,3,4
10,22,2,3,4,5,5,4,3,3,3,4,3,4,4,3,3,3,2,1,2,1,3
7,25,2,1,3,3,2,3,2,2,2,2,4,4,4,4,2,2,1,1,1,1,1
5,52,2,3,5,5,5,3,4,4,4,4,2,3,3,3,1,3,2,2,3,3,3
7,19,2,4,5,5,4,5,4,4,4,4,3,4,3,3,3,2,4,3,1,1,4
5,18,2,2,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3
8,69,1,1,5,3,3,5,4,2,3,4,4,4,3,3,4,3,2,2,3,1,3
8,24,1,3,5,5,4,4,5,4,4,2,4,4,4,3,2,3,1,2,3,1,2
6,20,2,2,4,5,4,5,4,3,4,4,3,3,3,2,2,3,2,3,2,2,3
4,19,1,4,4,5,3,3,4,4,4,2,2,4,4,4,4,3,2,2,2,2,3
7,20,2,2,6,6,5,6,4,4,3,4,4,4,3,4,3,3,2,4,2,3,3
5,21,2,3,5,3,3,3,2,4,2,2,4,4,4,3,3,2,2,2,2,2,3
8,51,2,4,3,3,3,4,4,4,4,4,3,4,3,3,4,4,1,1,2,1,3
3,42,2,2,7,7,7,7,3,4,3,4,3,2,2,2,2,4,2,4,4,4,4
8,22,2,4,5,6,3,4,4,5,5,3,4,4,3,3,4,2,3,3,3,2,3
6,21,2,4,6,6,6,5,5,4,4,3,3,4,3,2,3,3,2,2,2,2,3
7,60,2,2,3,4,3,3,3,4,3,3,4,3,4,3,4,2,1,2,2,1,2
7,39,2,3,4,5,3,5,4,3,4,4,3,3,3,3,2,3,2,3,1,2,2
7,30,1,2,1,1,1,1,2,1,2,4,5,4,4,4,4,2,1,1,3,1,4
7,22,1,2,3,3,3,4,2,2,2,3,4,3,3,3,2,3,1,1,1,1,4
5,63,1,4,5,5,5,4,4,4,4,4,3,3,3,2,2,2,2,3,3,2,3
8,27,2,3,6,6,5,5,3,4,4,4,4,3,3,4,4,2,1,2,1,1,2
7,25,1,5,6,4,5,6,4,4,4,4,3,3,3,2,2,4,3,2,2,1,3
3,64,2,2,6,7,5,2,2,2,5,4,4,4,3,4,3,3,1,2,3,2,3
8,24,1,4,6,6,6,5,5,5,5,5,3,3,3,2,2,2,3,3,1,2,4
10,50,1,4,2,2,2,3,4,4,3,4,4,3,3,3,3,2,2,2,2,2,3
6,53,2,2,5,5,6,6,3,3,1,4,3,3,3,3,3,4,3,1,2,1,3
8,43,2,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,2,3
